,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longditude,Country,Date_Time
0,rikitea,73.47,66,99,12.82,-23.12,-134.97,PF,1588574897
1,mahebourg,80.6,74,40,13.87,-20.41,57.7,MU,1588574897
2,sola,80.6,94,90,5.53,-13.88,167.55,VU,1588574897
3,busselton,69.01,63,25,16.89,-33.65,115.33,AU,1588574898
4,talnakh,23.0,85,69,33.55,69.49,88.4,RU,1588574898
5,pevek,21.27,94,18,7.31,69.7,170.31,RU,1588574898
6,port alfred,61.0,94,97,3.0,-33.59,26.89,ZA,1588574898
7,constantine,57.2,82,8,3.04,36.37,6.61,DZ,1588574899
8,ulaangom,70.32,16,100,8.12,49.98,92.07,MN,1588574899
9,sipacapa,48.99,89,6,2.44,15.2,-91.67,GT,1588574899
10,clyde river,3.2,71,1,2.24,70.47,-68.59,CA,1588574899
11,zhaozhou,58.69,32,36,7.52,45.68,125.32,CN,1588574899
12,bluff,48.65,75,71,14.92,-46.6,168.33,NZ,1588574899
13,ribeira grande,59.0,77,40,14.99,38.52,-28.7,PT,1588574900
14,yellowknife,35.6,90,90,12.75,62.46,-114.35,CA,1588574900
15,isangel,80.6,83,75,3.49,-19.55,169.27,VU,1588574900
16,kapaa,75.2,78,90,19.46,22.08,-159.32,US,1588574900
17,vaini,75.2,88,20,3.36,-21.2,-175.2,TO,1588574900
18,mehamn,35.6,95,75,4.7,71.04,27.85,NO,1588574900
19,katangli,38.19,71,100,8.37,51.71,143.23,RU,1588574617
20,mwense,74.35,46,0,7.56,-10.38,28.7,ZM,1588574900
21,hermanus,57.0,81,0,1.01,-34.42,19.23,ZA,1588574901
22,lebu,52.86,85,0,8.99,-37.62,-73.65,CL,1588574901
23,tuktoyaktuk,5.9,94,0,4.45,69.45,-133.04,CA,1588574901
24,albany,57.99,43,100,6.11,42.6,-73.97,US,1588574703
25,sri aman,93.2,63,75,3.36,1.24,111.46,MY,1588574901
26,new norfolk,57.99,81,15,2.48,-42.78,147.06,AU,1588574901
27,barrow,10.4,85,1,10.29,71.29,-156.79,US,1588574902
28,berlevag,35.6,95,75,2.24,70.86,29.09,NO,1588574902
29,faanui,82.22,78,92,12.1,-16.48,-151.75,PF,1588574902
30,tucupita,73.24,97,62,2.86,9.06,-62.05,VE,1588574902
31,gornopravdinsk,42.84,59,51,10.92,60.05,69.9,RU,1588574902
32,nisia floresta,75.2,100,40,4.7,-6.09,-35.21,BR,1588574902
33,puerto ayora,77.0,93,4,3.0,-0.74,-90.35,EC,1588574902
34,ust-maya,40.24,61,85,6.4,60.42,134.53,RU,1588574903
35,dikson,14.47,91,82,8.05,73.51,80.55,RU,1588574903
36,muisne,76.51,90,100,7.83,0.6,-80.03,EC,1588574903
37,sabang,84.79,67,29,4.12,5.89,95.32,ID,1588574903
38,mataura,41.41,90,76,3.85,-46.19,168.86,NZ,1588574903
39,severo-kurilsk,40.5,68,96,3.91,50.68,156.12,RU,1588574904
